Date,Open,High,Low,Close,Volume
4/7/2017,35.932499,36.044998,35.817501,35.834999,66688800
4/10/2017,35.900002,35.970001,35.724998,35.7925,75733600
4/11/2017,35.735001,35.837502,35.014999,35.407501,121517600
4/12/2017,35.400002,35.537498,35.252499,35.450001,81400000
4/13/2017,35.477501,35.595001,35.262501,35.262501,71291600
4/17/2017,35.369999,35.470001,35.217499,35.4575,66328400
4/18/2017,35.352501,35.509998,35.2775,35.299999,58790000
4/19/2017,35.470001,35.5,35.112499,35.169998,69313600
4/20/2017,35.305,35.73,35.290001,35.610001,93278400
4/21/2017,35.610001,35.669998,35.462502,35.567501,69283600
4/24/2017,35.875,35.987499,35.794998,35.91,68537200
4/25/2017,35.977501,36.224998,35.967499,36.1325,75486000
4/26/2017,36.1175,36.150002,35.845001,35.919998,80164800
4/27/2017,35.98,36.040001,35.827499,35.947498,56985200
4/28/2017,36.022499,36.075001,35.817501,35.912498,83441600
5/1/2017,36.275002,36.799999,36.240002,36.645,134411600
5/2/2017,36.884998,37.022499,36.709999,36.877499,181408800
5/3/2017,36.397499,36.872501,36.067501,36.764999,182788000
5/4/2017,36.630001,36.785,36.452499,36.6325,93487600
5/5/2017,36.689999,37.244999,36.689999,37.240002,109310800
5/8/2017,37.2575,38.424999,37.2575,38.252499,195009600
5/9/2017,38.467499,38.720001,38.362499,38.497501,156521600
5/10/2017,38.407501,38.485001,38.0275,38.314999,103222800
5/11/2017,38.112499,38.517502,38.077499,38.487499,109020400
5/12/2017,38.674999,39.105,38.6675,39.025002,130108000
5/15/2017,39.002499,39.162498,38.762501,38.924999,104038800
5/16/2017,38.985001,39.014999,38.68,38.8675,80194000
5/17/2017,38.400002,38.642502,37.427502,37.5625,203070800
5/18/2017,37.817501,38.334999,37.782501,38.134998,134272800
5/19/2017,38.345001,38.494999,38.157501,38.264999,107843200
5/22/2017,38.5,38.645,38.227501,38.497501,91865600
5/23/2017,38.724998,38.724998,38.327499,38.450001,79675600
5/24/2017,38.459999,38.5425,38.1675,38.334999,76712000
5/25/2017,38.432499,38.587502,38.2575,38.467499,76942400
5/26/2017,38.5,38.560001,38.327499,38.4025,87710400
5/30/2017,38.355,38.607498,38.3325,38.4175,80507600
5/31/2017,38.4925,38.5425,38.095001,38.189999,97804800
6/1/2017,38.2925,38.3325,38.055,38.294998,65616400
6/2/2017,38.395,38.862499,38.2225,38.862499,111082800
6/5/2017,38.584999,38.612499,38.365002,38.482498,101326800
6/6/2017,38.474998,38.952499,38.445,38.612499,106499600
6/7/2017,38.755001,38.994999,38.619999,38.842499,84278400
6/8/2017,38.8125,38.884998,38.599998,38.747501,85003200
6/9/2017,38.797501,38.797501,36.505001,37.244999,259530800
6/12/2017,36.435001,36.522499,35.627499,36.355,289229200
6/13/2017,36.790001,36.862499,36.287498,36.647499,136661600
6/14/2017,36.875,36.875,35.959999,36.290001,126124800
6/15/2017,35.830002,36.119999,35.552502,36.072498,128661600
6/16/2017,35.945,36.125,35.549999,35.567501,201444400
6/19/2017,35.915001,36.685001,35.915001,36.584999,130165600
6/20/2017,36.717499,36.717499,36.235001,36.252499,99600400
6/21/2017,36.380001,36.517502,36.1525,36.467499,85063200
6/22/2017,36.442501,36.674999,36.279999,36.407501,76425200
6/23/2017,36.282501,36.790001,36.2775,36.57,141757600
6/26/2017,36.7925,37.07,36.345001,36.455002,102769600
6/27/2017,36.252499,36.540001,35.904999,35.932499,99047600
6/28/2017,36.122501,36.5275,35.790001,36.4575,88329600
6/29/2017,36.177502,36.282501,35.57,35.919998,125997600
6/30/2017,36.112499,36.240002,35.945,36.005001,92096400
7/3/2017,36.220001,36.325001,35.775002,35.875,57111200
7/5/2017,35.922501,36.197498,35.68,36.022499,86278400
7/6/2017,35.755001,35.875,35.602501,35.682499,96515200
7/7/2017,35.724998,36.1875,35.724998,36.044998,76806800
7/10/2017,36.0275,36.487499,35.842499,36.264999,84362400
7/11/2017,36.182499,36.462502,36.095001,36.3825,79127200
7/12/2017,36.467499,36.544998,36.205002,36.435001,99538000
7/13/2017,36.375,37.122501,36.360001,36.942501,100797600
7/14/2017,36.9925,37.3325,36.8325,37.259998,80528400
7/17/2017,37.205002,37.724998,37.142502,37.389999,95174000
7/18/2017,37.299999,37.532501,37.1675,37.52,71475200
7/19/2017,37.619999,37.855,37.487499,37.755001,83692000
7/20/2017,37.875,37.935001,37.547501,37.584999,68974800
7/21/2017,37.497501,37.610001,37.220001,37.567501,105010400
7/24/2017,37.645,38.110001,37.474998,38.022499,85972800
7/25/2017,37.950001,38.459999,37.950001,38.185001,75415600
7/26/2017,38.337502,38.482498,38.264999,38.365002,63124000
7/27/2017,38.4375,38.497501,36.825001,37.639999,129905200
7/28/2017,37.4725,37.557499,37.297501,37.375,68854800
7/31/2017,37.474998,37.5825,37.032501,37.182499,79383600
8/1/2017,37.275002,37.555,37.102501,37.512501,141474400
8/2/2017,39.82,39.9375,39.040001,39.285,279747200
8/3/2017,39.262501,39.302502,38.755001,38.892502,108389200
8/4/2017,39.017502,39.349998,38.922501,39.0975,82239600
8/7/2017,39.264999,39.73,39.1675,39.702499,87481200
8/8/2017,39.650002,40.4575,39.567501,40.02,144823600
8/9/2017,39.814999,40.317501,39.7775,40.264999,104526000
8/10/2017,39.974998,40,38.657501,38.830002,163217200
8/11/2017,39.150002,39.642502,39.017502,39.369999,105028400
